reaction_id,story_id,story_text,emoji,created_at,published_at,is_published,topic,days_since_published
9730,2165.0,,❤️,2019-12-30 19:32:18+00:00,2019-12-29 00:00:00+00:00,True,puberty,1.0
9729,2165.0,10786.0,😭,2019-12-30 17:25:38+00:00,2019-12-29 00:00:00+00:00,True,puberty,1.0
9728,1848.0,,❤️,2019-12-30 06:26:23+00:00,2019-12-23 00:00:00+00:00,True,relationships,7.0
9727,390.0,2009.0,❤️,2019-12-29 20:38:12+00:00,2019-01-01 00:00:00+00:00,True,relationships,362.0
9726,2165.0,,👀,2019-12-29 20:33:34+00:00,2019-12-29 00:00:00+00:00,True,puberty,0.0
9725,2165.0,,✌,2019-12-29 06:14:10+00:00,2019-12-29 00:00:00+00:00,True,puberty,0.0
9724,396.0,2035.0,✌,2019-12-29 00:19:06+00:00,2019-03-13 00:00:00+00:00,True,relationships,291.0
9723,396.0,2036.0,✌,2019-12-29 00:19:03+00:00,2019-03-13 00:00:00+00:00,True,relationships,291.0
9722,1592.0,7728.0,✌,2019-12-29 00:18:31+00:00,2019-06-30 00:00:00+00:00,True,puberty,182.0
9721,418.0,,✌,2019-12-29 00:18:17+00:00,2019-01-28 00:00:00+00:00,True,relationships,335.0
9720,1449.0,7104.0,👀,2019-12-28 23:53:14+00:00,2019-12-14 00:00:00+00:00,True,bullying,14.0
9719,1848.0,9205.0,👀,2019-12-28 13:07:24+00:00,2019-12-23 00:00:00+00:00,True,relationships,5.0
9718,1848.0,9205.0,👀,2019-12-28 13:07:20+00:00,2019-12-23 00:00:00+00:00,True,relationships,5.0
9717,2088.0,,❤️,2019-12-28 03:52:40+00:00,2019-11-06 00:00:00+00:00,True,bullying,52.0
9716,1816.0,,❤️,2019-12-28 03:46:49+00:00,2019-12-08 00:00:00+00:00,True,puberty,20.0
9715,2191.0,,✌,2019-12-28 03:46:34+00:00,2019-12-09 00:00:00+00:00,True,bullying,19.0
9714,2191.0,,❤️,2019-12-28 03:46:34+00:00,2019-12-09 00:00:00+00:00,True,bullying,19.0
9713,1449.0,,✌,2019-12-28 03:45:37+00:00,2019-12-14 00:00:00+00:00,True,bullying,14.0
